Sheffield United,Millwall,1,2,1.8,3.5,4.75,2.1,1.72
Stoke,Bournemouth,0,1,2.7,3.2,2.8,2,1.8
Fulham,Cardiff,2,0,1.5,4.2,6.5,1.72,2.1
Huddersfield,Birmingham,0,0,2.4,3.2,3.1,2.3,1.61
Hull,Peterboro,1,2,2.1,3.4,3.6,2,1.8
Middlesbrough,Barnsley,2,0,1.85,3.4,4.5,2.1,1.72
Preston,Coventry,2,1,2.75,3.2,2.7,2.2,1.66
Swansea,West Brom,2,1,4,3.3,2,2.1,1.72
Reading,Blackpool,2,3,2.2,3.3,3.4,2,1.8
Cardiff,Middlesbrough,0,2,2.7,3.2,2.7,2.2,1.66
Birmingham,Swansea,2,1,2.45,3.1,3.1,2.5,1.53
Blackburn,Reading,2,0,1.85,3.6,4.33,1.9,1.9
Blackpool,Preston,2,0,2.9,3.2,2.5,2.1,1.72
Bournemouth,Huddersfield,3,0,1.6,4,5.5,1.9,1.9
Coventry,Derby,1,1,1.85,3.4,4.33,2.1,1.72
Luton,Hull,1,0,1.8,3.6,4.5,2.1,1.72
Millwall,Stoke,2,1,2.5,3.1,3,2.37,1.57
Peterboro,QPR,2,1,3.6,3.6,1.95,1.72,2.1
West Brom,Bristol City,3,0,1.45,4.33,7.5,1.9,1.9
Barnsley,Sheffield United,2,3,3.8,3.4,2.05,2.1,1.72
Nott'm Forest,Fulham,0,4,4,3.5,1.95,2,1.8
QPR,Nott'm Forest,1,1,2.15,3.5,3.3,1.8,2
Fulham,West Brom,3,0,2,3.5,3.8,1.8,2
Bristol City,Barnsley,2,1,2.3,3.3,3.2,2,1.8
Derby,Blackburn,1,2,2.8,3.25,2.55,2.3,1.61
Huddersfield,Millwall,1,0,2.5,3.2,2.9,2.37,1.57
Hull,Coventry,0,1,2.9,3.4,2.4,2.1,1.72
Middlesbrough,Birmingham,0,2,2.1,3.3,3.6,2.3,1.61
Preston,Luton,2,0,2.45,3.2,3,2.1,1.72
Sheffield United,Blackpool,0,1,1.57,4,6,1.8,2
Stoke,Cardiff,3,3,1.95,3.4,4,2,1.8
Swansea,Peterboro,3,0,1.6,3.8,5.75,1.9,1.9
Reading,Bournemouth,0,2,5,3.6,1.72,1.9,1.9
Birmingham,Bristol City,3,0,1.83,3.6,4.2,2,1.8
Coventry,Swansea,1,2,2.15,3.4,3.4,2.1,1.72
Luton,Middlesbrough,3,1,2.25,3.3,3.25,2,1.8
Millwall,Reading,1,0,1.9,3.4,4.2,2.1,1.72
Nott'm Forest,Sheffield United,1,1,2.9,3.4,2.4,2,1.8
Peterboro,Huddersfield,1,1,3.4,3.4,2.15,2,1.8
Barnsley,Derby,2,1,2.2,3.2,3.5,2.3,1.61
Blackburn,Fulham,0,7,4,3.5,1.9,1.8,2
Blackpool,Stoke,0,1,3.2,3.4,2.25,2.1,1.72
Bournemouth,Preston,1,2,1.55,4,6.5,1.9,1.9
Cardiff,QPR,0,1,2.7,3.4,2.6,1.8,2
West Brom,Hull,1,0,1.4,4.5,9,1.9,1.9
Barnsley,Hull,0,2,2.25,3.2,3.4,2.3,1.61
Blackburn,Sheffield United,3,1,2.9,3.4,2.4,1.9,1.9
Bournemouth,Swansea,4,0,1.72,3.6,5,2.05,1.8
Cardiff,Huddersfield,2,1,2.3,3.4,3.1,2.1,1.72
Coventry,Bristol City,3,2,1.65,3.75,5.5,1.9,1.95
Luton,Stoke,0,1,2.4,3.2,3.1,2.2,1.66
Millwall,Derby,1,1,1.83,3.4,4.75,2.37,1.57
Nott'm Forest,Preston,3,0,2.15,3.3,3.5,2.3,1.61
Peterboro,Fulham,0,1,6,4.33,1.53,1.61,2.3
West Brom,Middlesbrough,1,1,1.8,3.5,4.75,2,1.8
Birmingham,Reading,1,2,1.8,3.4,4.75,2.1,1.72
Blackpool,QPR,1,1,3,3.3,2.37,1.9,1.9
QPR,Luton,2,0,2.3,3.4,3.1,1.95,1.9
Sheffield United,Coventry,0,0,2,3.5,3.8,1.93,1.93
Bristol City,Blackburn,1,1,3.1,3.4,2.3,1.9,1.95
